instance,seed,bestCost,bestCostBefSP,tempAtBest,timeAtBest,iterAtBest,totalIter,pool,totalTime
cc0537,1,576.4812060000248,576.4812060000248,95.63838540421531,5.578000068664551,637,58405,5254,252.89400005340576
c0585,5,1027.0835629998537,1027.0835629998537,93.30392267358204,8.390000104904175,825,19129,3588,246.2170000076294
c0533,4,680.0413870000011,680.0413870000011,99.83537416386356,0.2589998245239258,11,85759,4600,311.0639998912811
sn2x,1,684.211466,684.9049159998799,9.3756995586377e-5,227.8470001220703,13997,13997,14542,227.8470001220703
rc201,3,672.9217299998535,672.9217299998535,89.55355010277296,16.736999988555908,1170,30219,13663,312.39400005340576
c0539,3,680.9967299999994,680.9967299999994,99.95083837308096,0.08800005912780762,1,87613,4498,337.74899983406067
cc0589,2,809.0043609990361,809.0043609990361,81.07710414941388,37.6729998588562,4282,33591,4138,378.22699999809265
sn4y,1,852.4626340000001,853.7017049997578,9.954227850936148e-5,347.12199997901917,6027,6027,15897,347.1230001449585
R1_4_1,1,9673.783689999998,9788.984839998746,6.0192686864546525e-5,360.3729999065399,0,0,12413,360.37399983406067
cc0531,3,554.4710709999829,554.4710709999829,97.71704261016434,3.7109999656677246,633,98978,6755,360.78399991989136
cc0537,2,576.4812060000032,576.4812060000032,99.73665112925302,0.34599995613098145,46,79346,6109,286.7170000076294
sn2x,2,684.211466,684.6054549995249,9.463542256157944e-5,232.52099990844727,2646,2646,17559,232.52099990844727
c0586,1,971.8215179999909,971.8215179999909,99.57989651356415,0.6540000438690186,11,39239,3526,307.15700006484985
c0533,5,680.0413870001147,680.0413870001147,93.06961374015972,10.97100019454956,3540,84139,5237,311.00999999046326
RC2_2_1,5,1561.41464,1579.547919999802,9.418559443564407e-5,434.1909999847412,1853,1853,11402,434.19199991226196
cc0582,4,712.8883299998214,712.8883299998214,94.83097382895897,12.024999856948853,1139,53900,3908,458.81199979782104
rc201,4,672.9217299998523,672.9217299998523,89.02473231215178,17.60199999809265,59,32348,14658,312.6340000629425
c0539,4,680.9967299999972,680.9967299999972,99.61354859095026,0.6579999923706055,174,90769,4351,337.86500000953674
sn2x,3,684.211466,684.7525569994344,8.436621420261264e-5,233.91299986839294,4733,4733,19238,233.91299986839294
cc0537,3,576.4812060000003,576.4812060000003,99.99129531230825,0.016000032424926758,2,81151,6129,257.6119999885559
sn4y,2,852.8316360000001,854.1746629995602,3.634219544776374e-5,343.845999956131,890,890,17044,343.845999956131
cc0589,3,809.0043609999676,809.0043609999676,99.19745040488492,1.5270001888275146,134,40199,4164,389.6230001449585
R1_4_1,2,9636.63201,9869.361619998792,2.945820992298662e-5,360.3880000114441,2,2,11425,360.3880000114441
cc0531,4,554.471071000003,554.471071000003,99.28648278884764,1.1570000648498535,267,91645,6342,360.7829999923706
c0586,2,971.8215179999959,971.8215179999959,99.65981717730207,0.5339999198913574,2,40973,3497,331.4779999256134
c0534,1,690.499805999997,690.499805999997,99.89822849254452,0.16499996185302734,40,90862,2397,314.76799988746643
rc201,5,672.9217299999414,672.9217299999414,95.1881592719932,7.615000009536743,422,28409,13615,312.76199984550476
c0539,5,680.9967300000004,680.9967300000004,99.48706436383902,0.870999813079834,226,84847,4157,337.5809998512268
sn2x,4,684.8866330000001,684.9399949997196,8.857326002818223e-5,229.81100010871887,9178,9178,14901,229.81100010871887
RC2_4_1,1,3478.673280000002,3519.5291400001397,2.6294699372262898e-5,414.0149998664856,1767,1767,4805,414.0160000324249
cc0537,4,576.4812060000114,576.4812060000114,89.61173472402506,13.489000082015991,10,66957,5458,252.83599996566772
cc0582,5,712.8883299997117,712.8883299997117,90.95078867690715,21.266000032424927,1392,50981,3785,458.81699991226196
sn4y,3,852.831636,854.8007749995827,9.303615565368385e-5,349.61100006103516,2006,2006,16409,349.61100006103516
cc0589,4,809.0043609994148,809.0043609994148,88.48120677777868,22.46399998664856,1318,39196,4369,379.27999997138977
c0586,3,971.8215179999913,971.8215179999913,99.10428680983682,1.3910000324249268,168,46300,3679,307.9619998931885
R1_4_1,3,9717.10528,9763.862289998797,8.81718821385267e-5,360.4949998855591,6,6,12658,360.4960000514984
c0534,2,690.4998060000003,690.4998060000003,99.98409473437569,0.031000137329101562,2,111873,2839,348.15700006484985
cc0531,5,554.4710710000094,554.4710710000094,98.659175001303,2.177000045776367,538,99866,6588,361.25300002098083
sn2x,5,684.211465999422,684.211465999422,5.154282550429814,170.84600019454956,2250,1696,19013,244.2300000190735
sn11x,1,846.8632320000004,849.8871719988027,0.0,313.6559998989105,353,353,23337,313.65700006484985
c0580,1,961.4963939999811,961.4963939999811,97.04837980731807,3.9489998817443848,457,36345,2475,264.8939998149872
cc0537,5,576.4812060000091,576.4812060000091,99.31585785036587,0.8680000305175781,223,62614,5477,253.14699983596802
RC2_4_1,2,3509.9859399999996,3517.3542100001855,7.569525247439229e-5,414.5810000896454,146,146,5097,414.58200001716614
sn4y,4,853.701705,859.7030359996899,7.53592491472071e-5,351.52099990844727,4471,4471,16859,351.52099990844727
cc0583,1,811.0670330000455,811.0670330000455,99.39286286687768,1.247999906539917,136,44362,2946,414.55599999427795
c0586,4,971.8215179999702,971.8215179999702,99.29296707238893,1.1009998321533203,14,40347,3413,307.59299993515015
sn2y,1,684.211466,684.5109269999358,0.0,251.84400010108948,19097,19097,19780,251.84400010108948
cc0532,1,518.0046939991039,518.0046939991039,36.19614539745829,108.84999990463257,28194,45780,9924,275.6050000190735
c0580,2,961.4963939999735,961.4963939999735,97.84131075673473,2.88700008392334,87,45691,2683,264.75800013542175
