Problem,Set,Instance,BKS,Ref,BestRef,AvgRef,TimeRef,BestGeneric,AvgGeneric,TimeGeneric,N,TStarGeneric
RiskVRP,V,256_1.0,83956.1,ILS-SP,83956.1,83956.1,22.3,83956.1304,83956.1304,222.5434,255,178.0788
RiskVRP,V,256_1.5,58274.8,ILS-SP,58274.8,58274.8,53.7,59300.624,60036.7221,537.7564,255,537.7556
RiskVRP,V,256_2.0,39596.4,ILS-SP,39596.4,39596.5,46.9,40315.9981,42522.2552,469.5646,255,469.5636
RiskVRP,V,256_2.5,31101.4,ILS-SP,31101.4,31101.6,115.9,31274.0635,32278.4474,1185.5392,255,1185.5392
RiskVRP,V,256_3.0,25361.8,ILS-SP,25372.8,25384.4,243.0,25391.4081,25422.863,2482.8336,255,2482.8318
RiskVRP,V,26_1.0,872.4,ILS-SP,872.4,872.4,0.4,872.438,872.438,4.7184,25,0.1622
RiskVRP,V,26_1.5,680.8,ILS-SP,680.8,680.8,0.4,680.8477,680.8477,4.1226,25,0.209
RiskVRP,V,26_2.0,566.5,ILS-SP,566.5,566.5,0.4,566.4558,566.4558,4.1378,25,0.0066
RiskVRP,V,26_2.5,531.6,ILS-SP,531.6,532.5,0.4,531.5861,535.3985,4.2746,25,4.2746
RiskVRP,V,26_3.0,493.8,ILS-SP,493.8,494.4,0.4,493.7992,495.7131,4.2306,25,1.2152
RiskVRP,V,301_1.0,24087.0,ILS-SP,24107.8,24213.4,298.1,24230.9956,24314.0759,3040.5736,300,3040.572
RiskVRP,V,301_1.5,17517.0,ILS-SP,17586.4,17679.0,298.2,17591.431,17736.0124,3041.6286,300,3041.626
RiskVRP,V,301_2.0,14367.0,ILS-SP,14695.8,14863.8,302.9,14627.7541,14731.4891,3080.3662,300,1249.6472
RiskVRP,V,301_2.5,12598.2,ILS-SP,12610.5,12860.6,304.4,12729.98,12781.1161,3095.833,300,1140.4864
RiskVRP,V,301_3.0,11352.1,ILS-SP,11405.0,11548.5,299.4,11363.4404,11388.1115,3046.3114,300,965.6914
RiskVRP,V,30_1.0,656.0,ILS-SP,656.0,656.0,0.8,656.0295,656.0295,8.007,29,0.0124
RiskVRP,V,30_1.5,514.3,ILS-SP,514.3,514.3,0.7,514.3354,514.3354,6.9942,29,0.0154
RiskVRP,V,30_2.0,489.0,ILS-SP,489.0,489.0,0.7,488.9656,488.9656,7.216,29,0.4176
RiskVRP,V,30_2.5,477.7,ILS-SP,477.7,477.7,0.7,477.6598,477.6598,7.0304,29,0.0394
RiskVRP,V,30_3.0,477.7,ILS-SP,477.7,477.7,0.7,475.0,475.0,7.0226,29,0.013
RiskVRP,V,36_1.0,953.6,ILS-SP,953.6,953.6,0.7,953.5697,953.5697,7.0538,35,0.0642
RiskVRP,V,36_1.5,749.8,ILS-SP,749.8,749.8,0.8,749.8408,749.8408,8.2478,35,0.7914
RiskVRP,V,36_2.0,659.9,ILS-SP,660.2,660.2,0.9,659.8675,660.1503,9.639,35,1.7458
RiskVRP,V,36_2.5,584.9,ILS-SP,584.9,584.9,0.9,584.8576,584.8576,9.0996,35,0.1044
RiskVRP,V,36_3.0,547.6,ILS-SP,547.6,547.6,0.9,546.0,546.0,9.1142,35,2.2526
