instance,seed,cost,time,pool
RC1_2_1,7,3319.7204699999998,98.573130458,7188
RC1_2_1,8,3323.38631,151.049309519,9837
RC1_2_1,9,3328.03714,140.670973761,11451
RC1_2_1,10,3342.0195399999993,124.869516642,9483
RC1_4_1,1,9771.43976,690.76507011,27910
RC1_4_1,2,9721.124439999137,331.448569316,16041
RC1_4_1,3,9752.63741,505.49128881,20557
RC1_4_1,4,9745.160189998962,400.57875258,18678
RC1_4_1,5,9694.85910999877,284.236223734,14381
RC1_4_1,6,9793.728259999049,496.913070426,22555
RC1_4_1,7,9771.075759999336,610.033545624,24439
RC1_4_1,8,9752.62761,719.920730488,27182
RC1_4_1,9,9675.57132,523.228112189,23586
RC1_4_1,10,9757.301169999999,335.844929506,15262
RC2_2_1,1,1569.39178,74.577302362,2311
RC2_2_1,2,1580.1974400000001,47.172841577,2186
RC2_2_1,3,1567.2243899999999,96.701999747,2737
RC2_2_1,4,1577.01964,45.208616924,1580
RC2_2_1,5,1575.32199,46.7230085,1871
RC2_2_1,6,1572.0523200000002,45.640025809,2000
RC2_2_1,7,1593.39538,45.259963718,2006
RC2_2_1,8,1577.4185400000001,51.618200337,2346
RC2_2_1,9,1564.45216,45.639865125,1855
RC2_2_1,10,1570.306239999999,41.129981878,1872
RC2_4_1,1,3498.7198000000035,228.672598451,4523
RC2_4_1,2,3532.6875699999996,236.98246936,5523
RC2_4_1,3,3517.1470900000077,268.826530835,4391
RC2_4_1,4,3512.23806,192.055573142,3589
RC2_4_1,5,3470.291940000002,199.195042084,4074
RC2_4_1,6,3519.1930700000003,241.69445781,5156
RC2_4_1,7,3508.65556,198.073643516,3310
RC2_4_1,8,3517.2882499999996,201.478492168,3633
RC2_4_1,9,3484.45905,192.205365041,3903
RC2_4_1,10,3494.438779999992,256.431853161,3600
c101,1,1220.99069,16.435002861,2373
c101,2,1220.9906899999999,14.968610806,1989
c101,3,1220.18329,20.911713519,2832
c101,4,1221.65734,16.009738421,2307
c101,5,1220.99069,15.226852468,2344
c101,6,1220.9906899999999,16.788302515,2248
c101,7,1221.69373,15.502340094,2216
c101,8,1220.99069,18.307240826,2659
c101,9,1220.9906899999999,16.509445359,2392
c101,10,1220.99069,15.952241529,2127
c201,1,662.06666,11.144981624,954
c201,2,662.06666,10.146445406,744
c201,3,662.0666600000001,13.802713942,1153
c201,4,662.06666,15.583565307,1374
c201,5,662.06666,10.679216874,912
c201,6,662.06666,13.268049328,1256
c201,7,662.06666,11.744439242,974
c201,8,662.0666600000001,10.791280252,1057
c201,9,662.06666,11.896946707,961
c201,10,662.0666600000001,10.717639735,857
r101,1,1012.4524400000003,14.529808261,2877
r101,2,1013.4974299999999,12.659211539,3178
r101,3,1009.9522199999999,12.092135817,2968
r101,4,1013.96134,13.648142291,3465
r101,5,1010.77154,12.377944538,2929
r101,6,1016.29018,14.394513678,3103
r101,7,1012.37139,12.736001859,3203
r101,8,1009.9522199999999,15.065149787,3551
r101,9,1012.4524399999999,12.960846326,2895
r101,10,1011.37331,12.227397481,3280
r201,1,667.7057300000001,10.452672032,1182
r201,2,666.20413,10.094090161,1073
r201,3,669.5818100000001,10.386994233,1424
r201,4,666.20413,9.492159229,1182
r201,5,671.0042800000001,10.399435755,1269
r201,6,670.5591499999999,10.416705807,1293
r201,7,666.2584699999998,10.226425395,1363
r201,8,666.2041299999999,9.400784872,1072
r201,9,666.2041299999999,10.31327949,1275
r201,10,666.2041299999999,9.164866231,1040
rc101,1,1059.32238,11.138946644,2126
rc101,2,1059.3223799999998,11.911578962,2160
rc101,3,1059.74614,13.074040975,2360
rc101,4,1059.32238,12.646724535,2469
rc101,5,1059.32238,21.802019962,3547
